mean,q5,q95,method,func,type
0.38224664122897145,0.08133147594773621,1.3191142819666015,censoring,mu,ISE
0.08366555786396954,0.049907347821838574,0.1257751253114118,oracle,mu,ISE
4.796876936128307,0.4490878064511157,15.450924131843465,exclude,mu,ISE
3.0578890202716233,0.26323162461578165,9.079037861328128,include,mu,ISE
2.2341558110013495,0.8713558171299387,5.038616352155032,censoring,f,ISE
0.9534107228437194,0.6195128504647567,1.3557839121131399,oracle,f,ISE
7.803704972710885,1.331043113900524,20.815463877482472,exclude,f,ISE
4.749127772471085,1.0005768455542265,12.35018384645148,include,f,ISE
1.6728923175103474,1.0073100392252305,2.93399362831537,censoring,mu,IAE
1.0294246343714777,0.796854277631,1.2853762318305002,oracle,mu,IAE
5.5165359250175205,2.0134964528158497,10.594627301599317,exclude,mu,IAE
4.2515862852404505,1.6302333054145,7.976263893221489,include,mu,IAE
4.7523463231582985,3.304422764693624,6.838430264900978,censoring,f,IAE
3.4844025083351853,2.8027095140999996,4.218903538409499,oracle,f,IAE
7.691009124605065,3.94983663055,13.152976223199992,exclude,f,IAE
6.146060721186543,3.5066216978000004,10.103592814249998,include,f,IAE
0.2985810833650019,-0.005499290976927143,1.2347167393769731,censoring,mu,ISE_contrast
4.713211378264337,0.36399029665443217,15.363205141403295,exclude,mu,ISE_contrast
2.974223462407654,0.18591702380974537,8.985882606178123,include,mu,ISE_contrast
1.28074508815763,-0.11428741014763538,4.091970744753384,censoring,f,ISE_contrast
6.850294249867165,0.38799326536582585,19.89342382796136,exclude,f,ISE_contrast
3.795717049627365,0.0462373479559339,11.408661423370644,include,f,ISE_contrast
0.6434676831388697,-0.058442587975892295,1.9020273705409858,censoring,mu,IAE_contrast
4.487111290646043,0.9590754961820009,9.533271135743995,exclude,mu,IAE_contrast
3.2221616508689728,0.565906691243,6.918842595840001,include,mu,IAE_contrast
1.267943814823113,-0.28229742762352017,3.417176466512676,censoring,f,IAE_contrast
4.206606616269879,0.43363104968499916,9.697004528329998,exclude,f,IAE_contrast
2.661658212851357,-0.03573804134999997,6.6511441903999975,include,f,IAE_contrast
